epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,862.464,1.7177,1.86842,1.41913,0.78135,0.61766,0.72865,0.34727,1.65873,1.51476,1.47097,0.0670184,0.000333147,0.000333147
2,1633.56,1.616,1.45107,1.36193,0.79434,0.70165,0.78907,0.3919,1.57059,1.47524,1.44584,0.0340019,0.000649985,0.000649985
3,2367.54,1.57975,1.34686,1.34129,0.86107,0.7231,0.84041,0.44669,1.51505,1.1805,1.41338,0.000968914,0.000950323,0.000950323
4,3110.35,1.55444,1.28895,1.33332,0.87139,0.7575,0.8594,0.46504,1.48967,1.10065,1.40307,0.00092575,0.00092575,0.00092575
5,3886.53,1.52665,1.22407,1.31543,0.87519,0.75646,0.8645,0.47335,1.46767,1.09292,1.35818,0.000901,0.000901,0.000901
6,4684.38,1.51082,1.17291,1.3057,0.86116,0.79747,0.88273,0.48636,1.45051,1.06674,1.37241,0.00087625,0.00087625,0.00087625
7,5503.71,1.48829,1.14078,1.29807,0.87997,0.77797,0.87829,0.49231,1.44449,1.03427,1.35312,0.0008515,0.0008515,0.0008515
8,6313.19,1.48131,1.12183,1.29009,0.87992,0.80344,0.89177,0.50239,1.43651,0.99447,1.36183,0.00082675,0.00082675,0.00082675
9,7254.81,1.46585,1.08612,1.27577,0.88324,0.8154,0.89609,0.50473,1.42927,0.95036,1.33354,0.000802,0.000802,0.000802
10,8132.61,1.45305,1.07091,1.27201,0.8898,0.82121,0.90668,0.51187,1.43634,0.91858,1.35304,0.00077725,0.00077725,0.00077725
11,8952.35,1.4407,1.04404,1.26642,0.89059,0.83746,0.90857,0.51983,1.41611,0.91065,1.34516,0.0007525,0.0007525,0.0007525
12,9782.19,1.4366,1.02676,1.26766,0.89555,0.82363,0.91149,0.52163,1.41895,0.90412,1.34369,0.00072775,0.00072775,0.00072775
13,10690.8,1.42825,1.01356,1.25757,0.89506,0.82981,0.91211,0.52867,1.40708,0.88686,1.33135,0.000703,0.000703,0.000703
14,11603.4,1.42015,0.99164,1.25481,0.90801,0.84142,0.91919,0.5252,1.4186,0.85183,1.35642,0.00067825,0.00067825,0.00067825
15,12487.7,1.41391,0.97509,1.24625,0.90524,0.84522,0.92242,0.53445,1.39801,0.85526,1.31735,0.0006535,0.0006535,0.0006535
16,13306.5,1.40486,0.96178,1.23979,0.9039,0.84047,0.92059,0.53361,1.40571,0.85523,1.31369,0.00062875,0.00062875,0.00062875
17,14196.8,1.38988,0.93668,1.23746,0.89217,0.8495,0.92282,0.53615,1.40362,0.83904,1.3293,0.000604,0.000604,0.000604
18,15068.5,1.38985,0.94374,1.24144,0.90833,0.84656,0.92376,0.53708,1.39777,0.83043,1.32561,0.00057925,0.00057925,0.00057925
19,15812.3,1.38373,0.93016,1.23584,0.90618,0.84715,0.92473,0.53946,1.40628,0.81354,1.32898,0.0005545,0.0005545,0.0005545
20,16593.6,1.36835,0.91457,1.22458,0.89909,0.8545,0.92497,0.53975,1.39603,0.82406,1.32344,0.00052975,0.00052975,0.00052975
21,17380.6,1.35674,0.89978,1.22271,0.89848,0.85849,0.92649,0.54217,1.39568,0.80444,1.32813,0.000505,0.000505,0.000505
22,18166.1,1.34533,0.88111,1.21351,0.91788,0.84098,0.92917,0.54483,1.39878,0.797,1.32679,0.00048025,0.00048025,0.00048025
23,18936.7,1.34574,0.86638,1.21466,0.9079,0.85303,0.93078,0.54484,1.4056,0.78889,1.33517,0.0004555,0.0004555,0.0004555
24,19692.1,1.34177,0.86576,1.21413,0.89538,0.86567,0.93118,0.54548,1.40369,0.7914,1.33704,0.00043075,0.00043075,0.00043075
25,20462.6,1.33138,0.84625,1.2094,0.90697,0.85273,0.92845,0.5434,1.40535,0.78992,1.33605,0.000406,0.000406,0.000406
26,21239.4,1.31667,0.83688,1.20055,0.91281,0.85244,0.92906,0.54542,1.40397,0.79204,1.33585,0.00038125,0.00038125,0.00038125
27,22020,1.31601,0.82719,1.20151,0.90839,0.85068,0.92786,0.54597,1.40521,0.78537,1.33496,0.0003565,0.0003565,0.0003565
28,22807.3,1.30973,0.81604,1.19504,0.90273,0.85385,0.92722,0.54629,1.40517,0.7801,1.33356,0.00033175,0.00033175,0.00033175
29,23595.6,1.29869,0.80549,1.19113,0.89723,0.86332,0.92836,0.5465,1.40759,0.77513,1.33499,0.000307,0.000307,0.000307
30,24385.3,1.29011,0.79873,1.19059,0.91133,0.8495,0.92976,0.54779,1.40991,0.76999,1.33939,0.00028225,0.00028225,0.00028225
31,25184.2,1.26217,0.6873,1.21091,0.90195,0.85597,0.92918,0.54804,1.4103,0.76733,1.3386,0.0002575,0.0002575,0.0002575
32,25972.2,1.24734,0.66914,1.20846,0.89909,0.85773,0.92903,0.54829,1.41136,0.76247,1.33857,0.00023275,0.00023275,0.00023275
33,26758.8,1.23635,0.65784,1.20586,0.89629,0.86008,0.92931,0.5476,1.4146,0.75961,1.34183,0.000208,0.000208,0.000208
34,27547.5,1.22003,0.64158,1.1927,0.89352,0.86096,0.92862,0.54707,1.41814,0.75862,1.34446,0.00018325,0.00018325,0.00018325
35,28338.4,1.20873,0.62574,1.18968,0.89409,0.86354,0.92969,0.54734,1.4204,0.75596,1.34598,0.0001585,0.0001585,0.0001585
36,29128.9,1.20123,0.61501,1.18357,0.90138,0.86185,0.9301,0.5458,1.42238,0.75232,1.34765,0.00013375,0.00013375,0.00013375
37,29919,1.19112,0.61001,1.17962,0.89867,0.8639,0.92976,0.54566,1.424,0.75114,1.34926,0.000109,0.000109,0.000109
38,30707.5,1.18138,0.5984,1.16926,0.89836,0.86361,0.92944,0.54586,1.42562,0.75046,1.35,8.425e-05,8.425e-05,8.425e-05
39,31497.3,1.1699,0.59021,1.16784,0.90082,0.86155,0.92934,0.54571,1.42714,0.7492,1.35133,5.95e-05,5.95e-05,5.95e-05
40,32288.8,1.16623,0.58062,1.16149,0.90225,0.86096,0.92975,0.54501,1.42964,0.74766,1.35295,3.475e-05,3.475e-05,3.475e-05
